trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-113.67186415837415,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-66.77118012098947,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-72.4253156082179,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-15.746904015441162,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-182.64914845955687,"{0: 20, 1: 3, 2: 2, 3: 1, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-210.1177688416624,"{0: 13, 1: 3, 2: 5, 3: 0, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",35,0,-137.70718978741755,"{0: 25, 1: 3, 2: 4, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-77.0476410513954,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-171.46648676647163,"{0: 18, 1: 1, 2: 1, 3: 1, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-20.175343922644544,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",35,5,-163.82519998374386,"{0: 20, 1: 0, 2: 7, 3: 0, 4: 3}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-163.6948896247275,"{0: 21, 1: 2, 2: 2, 3: 2, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-64.97627552212735,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-87.43341691449733,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,12,-5.422213592692884,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-5.903635956174722,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-118.3373133305557,"{0: 19, 1: 0, 2: 2, 3: 2, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-46.94456138457524,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,2,4.918173582550832,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,16,16.673098056021217,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,0,-179.1198516952599,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 5}",0
2,True,"{'a': 0, 'e': 0}",35,27,-29.369290036598994,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",20,8,18.85939122134879,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,0,-9.791005992930536,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,15,9.309394340063701,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,0,-97.09113204929885,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 3}",0
7,True,"{'a': 0, 'e': 0}",20,0,-12.042822080580574,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,20.094077391709337,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,0,28.325644344285706,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,-5.052743537675003,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
