trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.999000499833375}",25,0,-82.17715420994593,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9980019986673331}",25,0,-127.30139262100217,"{0: 13, 1: 0, 2: 10, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.997004495503373}",20,0,-203.4908825206671,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.9960079893439915}",20,0,-96.62046541209318,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9950124791926823}",25,0,-112.48628766143999,"{0: 17, 1: 2, 2: 1, 3: 4, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9940179640539353}",25,0,-92.56964820225899,"{0: 16, 1: 2, 2: 4, 3: 3, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9930244429332351}",30,0,-146.74250778147763,"{0: 19, 1: 6, 2: 2, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.9920319148370607}",25,0,-106.61466465443185,"{0: 15, 1: 0, 2: 7, 3: 3, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9910403787728836}",20,0,-86.71005264708756,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9900498337491681}",25,2,-123.98012708847138,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 3}",1
11,False,"{'a': 0.5, 'e': 0.9890602787753687}",25,0,-109.22531558514262,"{0: 14, 1: 3, 2: 5, 3: 3, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.9880717128619305}",25,0,-116.91875751767562,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9870841350202876}",20,0,-146.44370205165657,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9860975442628619}",20,0,-61.05658165392052,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.9851119396030626}",20,0,-92.41319452873236,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9841273200552851}",30,3,-120.95128316226311,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 2}",1
17,False,"{'a': 0.5, 'e': 0.9831436846349096}",30,0,-90.48265237077894,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9821610323583008}",35,16,-58.18290777675127,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.981179362242806}",25,0,-113.09501274902935,"{0: 17, 1: 0, 2: 5, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.9801986733067553}",25,0,-71.98590142897596,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.9792189645694596}",20,0,-26.513218578311925,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
