trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-83.84595586889878,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-132.08530833678657,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-214.58416519732427,"{0: 14, 1: 5, 2: 6, 3: 3, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-148.68263385552154,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-43.89613751213269,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-100.75171124152115,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-73.39489422810452,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-50.72024376134949,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-153.5174293687495,"{0: 11, 1: 2, 2: 10, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-217.42653829436776,"{0: 11, 1: 0, 2: 3, 3: 2, 4: 4}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-147.7056228976324,"{0: 12, 1: 6, 2: 3, 3: 3, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-139.6258460926258,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-124.08399643379286,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-38.525208430650025,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-188.61685271183336,"{0: 13, 1: 1, 2: 6, 3: 3, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,11,-20.129307666037686,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-255.5091619214708,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 5}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-56.26506491354816,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-172.13556357856643,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,20,-8.357172040086635,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-98.17432834497471,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-209.55268355566474,"{0: 13, 1: 2, 2: 5, 3: 2, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",35,0,-174.97034097236676,"{0: 22, 1: 2, 2: 7, 3: 2, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-17.61785735411078,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-194.58377511542534,"{0: 17, 1: 2, 2: 6, 3: 3, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-145.09835638891622,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-36.784597676527845,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-202.386895150804,"{0: 8, 1: 3, 2: 4, 3: 2, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-44.45085624843583,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-35.99292497914316,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
